"term","estimate","std.error","statistic","p.value","coef.type"
"k__Viruses.p__Viruses_unclassified.c__Viruses_unclassified.o__Caudovirales.f__Siphoviridae.g__C2virus.s__Lactococcus_virus_bIL67",12.5209931160533,10.9124991569821,1.14739922871307,0.251216659830013,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Pseudoflavonifractor.s__Pseudoflavonifractor_capillosus",-26.0009792686398,22.8795697933405,-1.13642780452139,0.255777564626211,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaeromassilibacillus",5.70857721691165,5.02574685669741,1.13586644526361,0.25601246338208,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Anaeromassilibacillus.s__Anaeromassilibacillus_sp_An250",5.70857721691165,5.02574685669741,1.13586644526361,0.25601246338208,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Pseudoflavonifractor.s__Pseudoflavonifractor_sp_An184",-25.1157493002246,22.2215053449206,-1.13024517963026,0.258372927179791,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Odoribacteraceae.g__Butyricimonas.s__Butyricimonas_synergistica",-18.2329286385616,16.1759864152983,-1.12716023434082,0.25967474001076,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Anaerostipes.s__Anaerostipes_caccae",-59.0950520281564,52.455870556032,-1.12656698672139,0.259925603703672,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Dorea.s__Dorea_formicigenerans",-1.99984736522397,1.77958712536906,-1.12377041658426,0.261110434700541,"location"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella",-0.743632565462305,0.6622249242708,-1.12293050020904,0.261467012648009,"location"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae.g__Parasutterella.s__Parasutterella_excrementihominis",-0.743632565462305,0.6622249242708,-1.12293050020904,0.261467012648009,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Roseburia.s__Roseburia_sp_CAG_471",1879.26903881852,1674.35964695534,1.12238075149254,0.261700585053837,"location"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Sutterellaceae",-0.717421334077155,0.645305343746446,-1.11175483208,0.266243577080127,"location"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria",-0.706207658900793,0.63976233566525,-1.10385938579277,0.269654139179422,"location"
"k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales",-0.706207658900793,0.63976233566525,-1.10385938579277,0.269654139179422,"location"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella",35.7772142623273,32.4292583678622,1.10323874374454,0.269923500286684,"location"
"k__Bacteria.p__Firmicutes.c__Erysipelotrichia.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Absiella.s__Absiella_dolichum",35.7772142623273,32.4292583678622,1.10323874374454,0.269923500286684,"location"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia",7.47742382596909,6.7777811910519,1.10322591054442,0.269929071893202,"location"
"k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales.f__Eggerthellaceae.g__Adlercreutzia.s__Adlercreutzia_equolifaciens",7.47742382596909,6.7777811910519,1.10322591054442,0.269929071893202,"location"
"k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_salivarius",0.945001975476774,0.857530128318769,1.10200440109259,0.270459758258938,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcaceae_unclassified.s__Ruminococcaceae_bacterium_D5",1.35247451984534,1.23567265579476,1.09452492413977,0.2737248222343,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__Blautia.s__Ruminococcus_gnavus",0.460270071251854,0.425811008811602,1.08092571992543,0.279730156676116,"location"
"k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified",-11.6044600739392,10.9421258140916,-1.06053067485247,0.288903242401708,"location"
"k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified",-11.6044600739392,10.9421258140916,-1.06053067485247,0.288903242401708,"location"
"k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified.f__Proteobacteria_unclassified",-11.6044600739392,10.9421258140916,-1.06053067485247,0.288903242401708,"location"
"k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified.f__Proteobacteria_unclassified.g__Proteobacteria_unclassified",-11.6044600739392,10.9421258140916,-1.06053067485247,0.288903242401708,"location"
"k__Bacteria.p__Proteobacteria.c__Proteobacteria_unclassified.o__Proteobacteria_unclassified.f__Proteobacteria_unclassified.g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139",-11.6044600739392,10.9421258140916,-1.06053067485247,0.288903242401708,"location"
"k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.s__Bacteroides_ovatus",-0.0809560744765447,0.0773407341949549,-1.04674561625542,0.295216918840959,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Ruminococcus.s__Ruminococcus_lactaris",1.32403657348623,1.30205406594455,1.01688294527596,0.309209117441797,"location"
"k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae.g__Faecalibacterium",0.0928906466132307,0.0917309684195791,1.01264216669279,0.311231111187806,"location"
